"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","676","Проверка авторизации пользователя","tests","2026-01-15","passed","2026-01-15","TestUserLogin","test_user_login","",""
"","911","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","488","Проверка создания заказа если в запросе передан невалидный хэш ингредиента","tests","2026-01-15","passed","2026-01-15","TestOrderCreate","test_order_create","",""
"","1012","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","751","Проверка авторизации пользователя если указан невалидный логин","tests","2026-01-15","passed","2026-01-15","TestUserLogin","test_user_login","",""
"","4220","Проверка создания заказа","tests","2026-01-15","passed","2026-01-15","TestOrderCreate","test_order_create","",""
"","630","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","842","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","472","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","482","Проверка создания заказа если не передать ни один ингредиент","tests","2026-01-15","passed","2026-01-15","TestOrderCreate","test_order_create","",""
"","476","Проверка создания пользователя если пользователь существует","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","914","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","512","Проверка авторизации пользователя если указан невалидный логин","tests","2026-01-15","passed","2026-01-15","TestUserLogin","test_user_login","",""
"","567","Проверка создания пользователя","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
"","470","Проверка создания пользователя если нет одного из полей","tests","2026-01-15","passed","2026-01-15","TestUserCreate","test_user_create","",""
